lat,long,type
42.31700135,-71.06508957,SIMPLE ASSAULT
42.30670136,-71.06650957,SIMPLE ASSAULT
42.34969134,-71.06520956,SIMPLE ASSAULT
42.29413635,-71.07193956,SIMPLE ASSAULT
42.36451085,-71.05271985,FIRE
42.28295636,-71.08194955,AGGRAVATED ASSAULT
42.29257136,-71.12106454,SIMPLE ASSAULT
42.28443136,-71.14117955,FIRE
42.31961257,-71.08944351,SIMPLE ASSAULT
42.28418782,-71.07156968,SIMPLE ASSAULT
42.28424009,-71.09660595,SIMPLE ASSAULT
42.36721134,-71.05367456,SIMPLE ASSAULT
42.30840136,-71.08837956,SIMPLE ASSAULT
42.35318635,-71.07266456,FIRE
42.34891134,-71.08155955,SIMPLE ASSAULT
42.35548239,-71.13729626,SIMPLE ASSAULT
42.28071137,-71.07712957,AGGRAVATED ASSAULT
42.2701477,-71.17174486,SIMPLE ASSAULT
42.29240636,-71.07320957,SIMPLE ASSAULT
42.32289635,-71.10209955,SIMPLE ASSAULT
42.28642636,-71.07163456,SIMPLE ASSAULT
42.37173634,-71.03664957,SIMPLE ASSAULT
42.32538828,-71.10287429,AGGRAVATED ASSAULT
42.33721135,-71.07600456,SIMPLE ASSAULT
42.36118135,-71.06287957,SIMPLE ASSAULT
42.34665634,-71.06590956,HOMICIDE
42.34687135,-71.06582957,AGGRAVATED ASSAULT
42.34687135,-71.06582957,HOMICIDE
42.26322136,-71.10035954,SIMPLE ASSAULT
42.35910635,-71.12636454,FIRE
42.29726136,-71.05662957,SIMPLE ASSAULT
42.29657342,-71.07331377,SIMPLE ASSAULT
42.33823561,-71.07956696,32GUN
42.29764861,-71.06843338,SIMPLE ASSAULT
42.31571135,-71.09957954,SIMPLE ASSAULT
42.36856634,-71.04122457,SIMPLE ASSAULT
42.33971836,-71.15166778,SIMPLE ASSAULT
42.31732982,-71.05791647,SIMPLE ASSAULT
42.36076134,-71.05389956,SIMPLE ASSAULT
42.30394136,-71.07029957,AGGRAVATED ASSAULT
42.28413136,-71.09306954,SIMPLE ASSAULT
42.33883135,-71.05622957,AGGRAVATED ASSAULT
42.33458635,-71.09682955,AGGRAVATED ASSAULT
42.35591634,-71.06252456,SIMPLE ASSAULT
42.33399593,-71.07639912,SIMPLE ASSAULT
42.27131132,-71.07442685,SIMPLE ASSAULT
42.35055135,-71.06148957,SIMPLE ASSAULT
42.29488136,-71.08802956,SIMPLE ASSAULT
42.34576135,-71.10003455,SIMPLE ASSAULT
42.28903136,-71.07658455,AGGRAVATED ASSAULT
42.29344136,-71.08302956,SIMPLE ASSAULT
42.37619134,-71.03980956,AGGRAVATED ASSAULT
42.25711899,-71.11717937,AGGRAVATED ASSAULT
42.28087136,-71.08036456,SIMPLE ASSAULT
42.29784135,-71.06333956,AGGRAVATED ASSAULT
42.29343962,-71.08950701,AGGRAVATED ASSAULT
42.28100722,-71.07221663,SIMPLE ASSAULT
42.30021135,-71.06311456,AGGRAVATED ASSAULT
42.29825636,-71.08040956,FIRE
42.33029635,-71.08014455,FIRE
42.34441135,-71.06395957,SIMPLE ASSAULT
42.30935135,-71.08416456,AGGRAVATED ASSAULT
42.29712975,-71.07411289,SIMPLE ASSAULT
42.35237134,-71.06490456,AGGRAVATED ASSAULT
42.34837476,-71.13452271,SIMPLE ASSAULT
42.33813135,-71.07463956,SIMPLE ASSAULT
42.28025592,-71.08231276,FIRE
42.29762984,-71.04940078,SIMPLE ASSAULT
42.36429134,-71.06628956,AGGRAVATED ASSAULT
42.36429134,-71.06628956,AGGRAVATED ASSAULT
42.3286598,-71.08561842,SIMPLE ASSAULT
42.31036777,-71.08056819,SIMPLE ASSAULT
42.27970136,-71.09286455,SIMPLE ASSAULT
42.33398135,-71.03329958,SIMPLE ASSAULT
42.28735929,-71.12713137,SIMPLE ASSAULT
42.29201136,-71.12217455,SIMPLE ASSAULT
42.28785136,-71.09016956,SIMPLE ASSAULT
42.28814636,-71.09006456,AGGRAVATED ASSAULT
42.28164136,-71.07111456,AGGRAVATED ASSAULT
42.35592135,-71.13284954,AGGRAVATED ASSAULT
42.31754135,-71.05669957,SIMPLE ASSAULT
42.30637017,-71.06020789,SIMPLE ASSAULT
42.34130529,-71.0547108,SIMPLE ASSAULT
42.34130529,-71.0547108,SIMPLE ASSAULT
42.31822135,-71.09094956,SIMPLE ASSAULT
42.31822135,-71.09094956,SIMPLE ASSAULT
42.34262135,-71.09026956,SIMPLE ASSAULT
42.34843634,-71.03791457,SIMPLE ASSAULT
42.35006135,-71.07737956,SIMPLE ASSAULT
42.31897136,-71.10356955,FIRE
42.27479636,-71.09883957,SIMPLE ASSAULT
42.36897634,-71.03941457,SIMPLE ASSAULT
42.38077134,-71.06155956,AGGRAVATED ASSAULT
42.34445635,-71.14272454,AGGRAVATED ASSAULT
42.33042083,-71.08249427,SIMPLE ASSAULT
42.29309136,-71.05732957,SIMPLE ASSAULT
42.27973136,-71.08248456,AGGRAVATED ASSAULT
42.28100722,-71.07221663,SIMPLE ASSAULT
42.2819862,-71.07607636,FIRE
42.35014135,-71.14713954,SIMPLE ASSAULT
42.32848096,-71.08119484,AGGRAVATED ASSAULT
42.36231028,-71.06198357,SIMPLE ASSAULT
42.33797635,-71.08005455,SIMPLE ASSAULT
42.34018135,-71.07371956,SIMPLE ASSAULT
42.32016135,-71.06643456,FIRE
42.32458635,-71.09326955,FIRE
42.28808136,-71.09150455,SIMPLE ASSAULT
42.31052083,-71.07150514,SIMPLE ASSAULT
42.30618765,-71.06865261,SIMPLE ASSAULT
42.31956135,-71.07776956,SIMPLE ASSAULT
42.35365134,-71.04740456,FIRE
42.34003315,-71.15239421,FIRE
42.33260135,-71.07226956,SIMPLE ASSAULT
42.27856075,-71.092001,AGGRAVATED ASSAULT
42.33153635,-71.03207957,FIRE
42.35829634,-71.06566956,FIRE
42.33783134,-71.02928457,SIMPLE ASSAULT
42.26649136,-71.11656955,SIMPLE ASSAULT
42.33472635,-71.09852455,32GUN
