lat,long,type
42.36198634,-71.06197456,OTHER LARCENY
42.30519635,-71.06748956,TOWED
42.36155135,-71.05756956,OTHER LARCENY
42.35226635,-71.07250956,OTHER LARCENY
42.29848136,-71.06315456,OTHER LARCENY
42.37565634,-71.06458956,OTHER LARCENY
42.35171135,-71.08623955,OTHER LARCENY
42.35080635,-71.13124454,OTHER LARCENY
42.35479577,-71.13585676,TOWED
42.33490135,-71.05512456,OTHER LARCENY
42.2905562,-71.07164295,OTHER LARCENY
42.34938895,-71.14242987,OTHER LARCENY
42.34783135,-71.07274956,OTHER LARCENY
42.35226635,-71.07250956,OTHER LARCENY
42.37505388,-71.03886721,OTHER LARCENY
42.29943135,-71.06040956,OTHER LARCENY
42.26448636,-71.12735454,OTHER LARCENY
42.35870634,-71.05783956,OTHER LARCENY
42.2619841,-71.10973973,OTHER LARCENY
42.35644135,-71.06197957,OTHER LARCENY
42.34618135,-71.09862455,OTHER LARCENY
42.28739788,-71.06193281,OTHER LARCENY
42.33046135,-71.07441456,OTHER LARCENY
42.31358717,-71.05434207,TOWED
42.26299241,-71.12697701,OTHER
42.34969134,-71.06520956,OTHER LARCENY
42.34684635,-71.07138456,OTHER LARCENY
42.31797679,-71.05326265,TOWED
42.31408136,-71.09291454,OTHER LARCENY
42.33151135,-71.07083456,OTHER LARCENY
42.33396635,-71.03443957,OTHER LARCENY
42.30356135,-71.06437456,TOWED
42.35189135,-71.15910953,OTHER LARCENY
42.34744096,-71.13362874,TOWED
42.35091634,-71.06343956,OTHER LARCENY
42.35333635,-71.08019956,TOWED
42.35660969,-71.05187589,OTHER LARCENY
42.37173634,-71.03664957,OTHER LARCENY
42.31935183,-71.05589606,TOWED
42.32114205,-71.09089327,OTHER LARCENY
42.25607959,-71.14602395,OTHER
42.32746135,-71.05371956,OTHER LARCENY
42.29233136,-71.06035957,TOWED
42.33566135,-71.08045956,OTHER LARCENY
42.34711134,-71.08763455,OTHER
42.34000135,-71.08248956,TOWED
42.35237134,-71.06490456,OTHER LARCENY
42.34710135,-71.07960455,OTHER LARCENY
42.30775136,-71.06682957,OTHER LARCENY
42.32181135,-71.07403956,OTHER LARCENY
42.35237134,-71.06490456,OTHER LARCENY
42.37493134,-71.03978957,OTHER LARCENY
42.34671135,-71.08008456,OTHER LARCENY
42.34904635,-71.08104955,OTHER LARCENY
42.31735135,-71.06583456,OTHER LARCENY
42.29278579,-71.07330446,OTHER
42.30389136,-71.07509956,TOWED
42.35965135,-71.05180957,OTHER LARCENY
42.38976983,-71.00950435,OTHER LARCENY
42.31497635,-71.10600955,TOWED
42.33184135,-71.09740955,TOWED
42.33960135,-71.05532956,TOWED
42.3281673,-71.09534542,OTHER LARCENY
42.37493134,-71.03978957,OTHER LARCENY
42.34711134,-71.08763455,OTHER
42.23523137,-71.13212954,TOWED
42.29848136,-71.06315456,OTHER LARCENY
42.28486136,-71.04434457,OTHER LARCENY
42.27964522,-71.08370574,TOWED
42.32761765,-71.108794,OTHER LARCENY
42.34846635,-71.08665456,OTHER LARCENY
42.35068635,-71.07162956,OTHER LARCENY
42.33566135,-71.08045956,OTHER
42.37493134,-71.03978957,OTHER LARCENY
42.30782635,-71.11547454,OTHER LARCENY
42.35647634,-71.05929456,OTHER LARCENY
42.33267635,-71.10955455,OTHER LARCENY
42.35361135,-71.12936454,OTHER LARCENY
42.34671135,-71.08008456,OTHER LARCENY
42.32937538,-71.08474665,OTHER
42.28584136,-71.13119455,OTHER LARCENY
42.34941135,-71.08314456,OTHER LARCENY
42.34671135,-71.08008456,OTHER LARCENY
42.33151135,-71.07083456,OTHER LARCENY
42.38166634,-71.04034456,OTHER LARCENY
42.35655634,-71.06185956,OTHER LARCENY
42.34546389,-71.14046241,OTHER LARCENY
42.36440843,-71.06844779,OTHER LARCENY
0.0,0.0,TOWED
42.37831134,-71.03600957,TOWED
42.34006635,-71.16016953,TOWED
42.31716635,-71.10242455,TOWED
42.27712636,-71.10602954,OTHER LARCENY
42.31926669,-71.08159226,OTHER LARCENY
42.34896635,-71.16176453,TOWED
42.27311137,-71.10811955,TOWED
42.37997134,-71.03924895,TOWED
42.35013134,-71.07714456,OTHER LARCENY
42.32995779,-71.0536659,OTHER LARCENY
42.33391135,-71.05245957,TOWED
42.35589829,-71.13850805,OTHER LARCENY
42.34369135,-71.09737955,TOWED
42.34353135,-71.09978955,OTHER LARCENY
42.29230135,-71.04801957,OTHER LARCENY
42.32532137,-71.1007688,OTHER
42.33857907,-71.06377935,07RV
42.34710135,-71.07960455,OTHER LARCENY
42.36763134,-71.06576456,OTHER LARCENY
42.32311635,-71.10665954,OTHER LARCENY
42.31838635,-71.05973956,OTHER LARCENY
42.33199635,-71.10895454,OTHER LARCENY
42.32423295,-71.11068977,OTHER
42.25705636,-71.12238454,OTHER
42.34689229,-71.0433085,OTHER
42.33044723,-71.08165603,OTHER
42.31967512,-71.10632518,OTHER
42.34813135,-71.08448455,OTHER
42.31956635,-71.04722956,OTHER LARCENY
42.30847717,-71.08215257,OTHER LARCENY
42.32727053,-71.09159761,OTHER LARCENY
42.32634635,-71.06646456,OTHER LARCENY
42.28712136,-71.12741955,OTHER LARCENY
42.35289135,-71.13667453,OTHER LARCENY
42.37681634,-71.05701456,OTHER LARCENY
42.27864136,-71.13657954,OTHER LARCENY
42.27260633,-71.09370646,OTHER LARCENY
42.32917135,-71.09293955,OTHER LARCENY
0.0,0.0,OTHER LARCENY
0.0,0.0,TOWED
42.3462135,-71.07547022,OTHER LARCENY
42.33399593,-71.07639912,OTHER LARCENY
42.27690342,-71.08629362,TOWED
42.28363136,-71.08279956,OTHER LARCENY
42.3364524,-71.03821475,TOWED
42.34754135,-71.14059954,TOWED
42.26250375,-71.14667823,OTHER LARCENY
42.34024135,-71.14796453,TOWED
42.35256135,-71.07977956,TOWED
42.35196084,-71.1339783,TOWED
42.31727636,-71.11155953,TOWED
42.28980084,-71.14298108,TOWED
42.34675635,-71.08968955,OTHER LARCENY
42.35084135,-71.07771956,OTHER LARCENY
42.32723569,-71.08059616,OTHER LARCENY
42.36512135,-71.05836957,OTHER LARCENY
42.30821136,-71.08128956,OTHER LARCENY
42.33213489,-71.08261026,OTHER LARCENY
42.34077135,-71.08770455,OTHER LARCENY
42.36056156,-71.06067351,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.32549135,-71.06574955,OTHER LARCENY
42.32059263,-71.08963351,OTHER LARCENY
42.34128269,-71.07365209,OTHER
42.30782635,-71.11547454,OTHER LARCENY
42.32354135,-71.10219455,OTHER
42.32861135,-71.05259957,TOWED
0.0,0.0,TOWED
42.37468134,-71.03365457,OTHER LARCENY
42.34697135,-71.07381456,OTHER LARCENY
42.29507136,-71.08708956,07RV
42.27226342,-71.07855521,OTHER LARCENY
42.34784635,-71.13276954,TOWED
42.33549135,-71.08353455,07RV
42.29856718,-71.11224735,OTHER LARCENY
42.32552635,-71.10816454,TOWED
42.33728135,-71.04331957,TOWED
42.34517135,-71.10065955,OTHER LARCENY
42.31657917,-71.11010245,OTHER LARCENY
42.28055383,-71.11451045,TOWED
42.35237134,-71.06490456,OTHER LARCENY
42.34852367,-71.07803723,OTHER LARCENY
42.34934037,-71.1655051,OTHER LARCENY
42.35650134,-71.05983956,OTHER LARCENY
42.30755328,-71.06027117,07RV
42.35237134,-71.06490456,OTHER LARCENY
42.33947135,-71.08049455,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.35495134,-71.06299456,OTHER LARCENY
42.35388134,-71.05831456,OTHER LARCENY
42.34353135,-71.09978955,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
42.28405295,-71.11241077,OTHER LARCENY
42.35153635,-71.07188456,OTHER LARCENY
42.31137818,-71.05842854,OTHER LARCENY
42.34353135,-71.09978955,OTHER LARCENY
42.34462635,-71.03560457,OTHER LARCENY
42.34538135,-71.09823955,TOWED
42.26953722,-71.09075535,OTHER LARCENY
0.0,0.0,OTHER LARCENY
42.32779635,-71.05437456,TOWED
42.32318135,-71.10587955,TOWED
42.34361635,-71.06482456,OTHER LARCENY
42.34710135,-71.07960455,OTHER LARCENY
42.33767135,-71.07532956,OTHER LARCENY
42.34688459,-71.15802803,OTHER LARCENY
42.34846635,-71.08665456,OTHER LARCENY
42.34321635,-71.14294454,OTHER LARCENY
42.33567135,-71.03283457,TOWED
42.32006635,-71.09831455,OTHER
42.32834961,-71.07858581,OTHER
42.35200135,-71.15309953,OTHER
0.0,0.0,OTHER LARCENY
42.36552135,-71.06121957,OTHER LARCENY
42.35590635,-71.07056456,OTHER LARCENY
0.0,0.0,TOWED
42.35196084,-71.1339783,OTHER LARCENY
42.32019135,-71.08769955,TOWED
42.34711134,-71.08763455,OTHER
42.36493691,-71.06055366,OTHER LARCENY
42.33750775,-71.0745249,OTHER LARCENY
42.35265398,-71.13992122,TOWED
42.35512519,-71.16349585,TOWED
42.30094765,-71.12704298,OTHER LARCENY
42.27641466,-71.16247906,OTHER LARCENY
42.35844634,-71.14155953,OTHER LARCENY
42.34711134,-71.08763455,OTHER
42.35217635,-71.08451456,TOWED
42.31190114,-71.11427344,OTHER LARCENY
42.27662139,-71.09753489,07RV
42.35844634,-71.14155953,OTHER
42.30751635,-71.06562956,OTHER LARCENY
42.25133136,-71.12023955,OTHER LARCENY
42.32543556,-71.06387302,OTHER LARCENY
